"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"female","female","some high school","free/reduced","none","52","58","60"
"male","male","some high school","free/reduced","none","52","53","47"
"female","female","high school","free/reduced","none","52","72","71"
"male","male","some high school","free/reduced","none","52","45","48"
"male","male","some college","free/reduced","none","52","44","49"
"female","female","some high school","free/reduced","none","52","58","53"
"female","female","high school","free/reduced","none","53","64","63"
"female","female","some college","free/reduced","none","53","70","71"
"female","female","some college","free/reduced","completed","53","65","66"
"female","female","high school","free/reduced","none","53","65","69"
"female","female","associate's degree","free/reduced","none","53","70","69"
"male","male","master's degree","free/reduced","none","53","57","51"
"female","female","some college","free/reduced","completed","53","70","69"
"female","female","some high school","free/reduced","completed","53","70","65"
"female","female","associate's degree","free/reduced","completed","53","74","75"
"female","female","some college","free/reduced","completed","53","73","74"
"male","male","some high school","free/reduced","completed","54","61","61"
"female","female","high school","free/reduced","none","54","67","59"
"female","female","associate's degree","free/reduced","none","54","63","58"
"female","female","master's degree","free/reduced","none","54","75","72"
"male","male","associate's degree","free/reduced","none","54","48","45"
"female","female","some college","free/reduced","completed","54","61","71"
"female","female","master's degree","free/reduced","none","54","64","64"
"male","male","some college","free/reduced","completed","54","61","62"
"male","male","associate's degree","free/reduced","none","54","66","65"
"female","female","some high school","free/reduced","completed","54","55","65"
"male","male","some college","free/reduced","completed","55","68","60"
"female","female","bachelor's degree","free/reduced","none","55","57","60"
"female","female","master's degree","free/reduced","none","55","60","61"
"male","male","some high school","free/reduced","completed","55","61","61"
"male","male","associate's degree","free/reduced","none","55","52","47"
"female","female","high school","free/reduced","none","55","66","65"
"male","male","high school","free/reduced","none","55","62","49"
"male","male","some college","free/reduced","none","55","42","43"
"male","male","associate's degree","free/reduced","completed","55","39","51"
"female","female","some high school","free/reduced","completed","55","73","70"
"male","male","some high school","free/reduced","none","55","53","51"
"female","female","associate's degree","free/reduced","none","55","61","60"
"male","male","master's degree","free/reduced","none","56","65","56"
"male","male","some college","free/reduced","completed","56","67","56"
"female","female","bachelor's degree","free/reduced","completed","56","65","73"
"male","male","some college","free/reduced","none","56","58","50"
"male","male","high school","free/reduced","none","56","48","36"
"male","male","associate's degree","free/reduced","none","56","50","43"
"female","female","bachelor's degree","free/reduced","none","56","58","52"
"male","male","high school","free/reduced","completed","56","65","63"
"female","female","some college","free/reduced","none","57","75","70"
"male","male","some college","free/reduced","completed","57","68","61"
"female","female","some high school","free/reduced","none","57","64","60"
"female","female","some college","free/reduced","completed","57","66","71"
"male","male","high school","free/reduced","none","57","57","47"
"female","female","associate's degree","free/reduced","none","57","71","71"
"female","female","high school","free/reduced","none","57","52","53"
"male","male","some college","free/reduced","none","57","47","42"
"female","female","bachelor's degree","free/reduced","completed","57","70","68"
"male","male","associate's degree","free/reduced","none","57","49","48"
"female","female","bachelor's degree","free/reduced","completed","57","65","68"
"male","male","bachelor's degree","free/reduced","none","58","64","54"
"male","male","high school","free/reduced","completed","58","56","49"
"female","female","some college","free/reduced","completed","58","69","74"
"male","male","some college","free/reduced","completed","58","60","59"
"female","female","high school","free/reduced","none","58","72","70"
"female","female","some college","free/reduced","completed","58","68","73"
"female","female","some high school","free/reduced","none","58","64","64"
"male","male","some high school","free/reduced","completed","58","52","48"
"female","female","some high school","free/reduced","completed","58","62","66"
"male","male","associate's degree","free/reduced","none","58","53","54"
"female","female","bachelor's degree","free/reduced","none","59","85","82"
"male","male","some college","free/reduced","none","59","60","50"
"male","male","master's degree","free/reduced","none","59","47","46"
"male","male","high school","free/reduced","none","59","61","58"
"male","male","bachelor's degree","free/reduced","none","59","70","58"
"male","male","some college","free/reduced","completed","59","71","66"
"female","female","some college","free/reduced","completed","59","83","81"
"male","male","some college","free/reduced","completed","59","53","56"
"female","female","associate's degree","free/reduced","none","60","64","60"
"male","male","master's degree","free/reduced","none","60","62","58"
"female","female","some high school","free/reduced","completed","60","72","76"
"female","female","high school","free/reduced","none","60","75","70"
"male","male","high school","free/reduced","completed","60","62","57"
"male","male","associate's degree","free/reduced","completed","60","63","57"
"female","female","some high school","free/reduced","none","60","72","64"
"female","female","bachelor's degree","free/reduced","none","61","71","73"
"male","male","associate's degree","free/reduced","none","61","59","54"
"male","male","associate's degree","free/reduced","none","61","62","54"
"male","male","some high school","free/reduced","none","61","57","55"
"female","female","high school","free/reduced","none","61","69","66"
"female","female","high school","free/reduced","completed","61","69","68"
"male","male","bachelor's degree","free/reduced","completed","61","71","65"
"female","female","some college","free/reduced","none","61","79","76"
"female","female","associate's degree","free/reduced","none","61","74","72"
"male","male","associate's degree","free/reduced","none","62","43","45"
"female","female","bachelor's degree","free/reduced","none","62","75","72"
"male","male","bachelor's degree","free/reduced","none","62","61","57"
"male","male","some high school","free/reduced","none","62","59","62"
"female","female","some high school","free/reduced","none","62","71","77"
"male","male","some college","free/reduced","completed","62","68","71"
"male","male","associate's degree","free/reduced","none","63","61","62"
"female","female","master's degree","free/reduced","none","63","65","66"
"female","female","some college","free/reduced","none","63","76","69"
"female","female","associate's degree","free/reduced","none","63","78","73"
"male","male","some college","free/reduced","completed","63","69","59"
"male","male","some college","free/reduced","none","63","60","54"
"male","male","some college","free/reduced","none","63","61","55"
"male","male","bachelor's degree","free/reduced","none","63","56","56"
"male","male","high school","free/reduced","none","63","63","61"
"female","female","bachelor's degree","free/reduced","none","63","66","68"
"male","male","associate's degree","free/reduced","completed","63","60","63"
"male","male","some high school","free/reduced","none","63","61","59"
"female","female","some high school","free/reduced","none","64","79","70"
"female","female","some high school","free/reduced","none","64","86","89"
"male","male","associate's degree","free/reduced","none","64","63","57"
"male","male","high school","free/reduced","none","64","52","54"
"male","male","high school","free/reduced","none","64","64","59"
"female","female","high school","free/reduced","none","64","69","68"
"female","female","some college","free/reduced","none","64","70","69"
"male","male","high school","free/reduced","completed","64","62","59"
"female","female","some college","free/reduced","none","65","77","83"
"female","female","master's degree","free/reduced","none","65","88","84"
"female","female","some college","free/reduced","completed","65","76","72"
"male","male","associate's degree","free/reduced","none","65","63","65"
"male","male","high school","free/reduced","none","65","63","60"
"female","female","associate's degree","free/reduced","none","66","83","82"
"male","male","high school","free/reduced","none","66","64","62"
"female","female","some college","free/reduced","none","66","88","83"
"female","female","master's degree","free/reduced","none","66","78","83"
"male","male","high school","free/reduced","completed","66","59","68"
"female","female","associate's degree","free/reduced","none","66","75","74"
"female","female","high school","free/reduced","completed","66","78","77"
"male","male","some college","free/reduced","none","66","57","53"
"female","female","some college","free/reduced","none","66","90","83"
"male","male","high school","free/reduced","completed","67","66","64"
"male","male","associate's degree","free/reduced","none","67","66","66"
"male","male","some college","free/reduced","none","67","58","56"
"male","male","associate's degree","free/reduced","completed","67","70","70"
"female","female","some college","free/reduced","none","67","79","80"
"male","male","associate's degree","free/reduced","none","67","64","60"
"male","male","high school","free/reduced","none","67","65","54"
"male","male","bachelor's degree","free/reduced","completed","68","71","67"
"female","female","associate's degree","free/reduced","none","68","84","80"
"male","male","associate's degree","free/reduced","none","68","63","57"
"male","male","some high school","free/reduced","none","68","62","61"
"male","male","bachelor's degree","free/reduced","none","68","68","59"
"male","male","some college","free/reduced","completed","68","73","68"
"female","female","bachelor's degree","free/reduced","none","69","73","71"
"male","male","master's degree","free/reduced","completed","69","66","65"
"male","male","associate's degree","free/reduced","none","69","61","57"
"male","male","high school","free/reduced","none","69","71","62"
"male","male","associate's degree","free/reduced","none","69","77","70"
"male","male","some college","free/reduced","none","69","68","62"
"male","male","associate's degree","free/reduced","completed","69","84","82"
"male","male","some college","free/reduced","none","69","72","68"
"male","male","some high school","free/reduced","completed","69","64","62"
"male","male","master's degree","free/reduced","completed","69","79","72"
"male","male","associate's degree","free/reduced","none","70","62","66"
"female","female","high school","free/reduced","completed","70","84","83"
"male","male","bachelor's degree","free/reduced","none","70","60","56"
"male","male","high school","free/reduced","none","70","73","69"
"female","female","associate's degree","free/reduced","none","70","84","78"
"male","male","master's degree","free/reduced","none","71","62","66"
"female","female","some college","free/reduced","none","71","78","82"
"male","male","some college","free/reduced","none","71","64","66"
"male","male","master's degree","free/reduced","none","71","76","67"
"male","male","high school","free/reduced","none","71","63","64"
"male","male","some college","free/reduced","none","71","68","65"
"male","male","some high school","free/reduced","completed","71","74","68"
"male","male","some college","free/reduced","completed","71","82","75"
"female","female","high school","free/reduced","completed","71","77","82"
"female","female","some college","free/reduced","none","71","81","77"
"female","female","high school","free/reduced","none","72","91","81"
"female","female","associate's degree","free/reduced","none","72","73","70"
"male","male","associate's degree","free/reduced","completed","72","76","73"
"male","male","associate's degree","free/reduced","none","72","72","65"
"male","male","associate's degree","free/reduced","none","73","73","61"
"male","male","associate's degree","free/reduced","completed","73","69","70"
"male","male","bachelor's degree","free/reduced","none","73","52","54"
"male","male","some high school","free/reduced","none","73","78","69"
"male","male","high school","free/reduced","none","73","75","64"
"male","male","some college","free/reduced","completed","74","80","86"
"female","female","associate's degree","free/reduced","none","74","83","80"
"female","female","high school","free/reduced","completed","74","96","95"
"male","male","associate's degree","free/reduced","completed","74","90","89"
"female","female","some college","free/reduced","completed","74","85","82"
"male","male","bachelor's degree","free/reduced","none","74","80","78"
"male","male","some high school","free/reduced","completed","75","74","71"
"female","female","high school","free/reduced","completed","75","85","90"
"male","male","some college","free/reduced","completed","75","65","66"
"male","male","some high school","free/reduced","completed","75","70","61"
"male","male","high school","free/reduced","completed","75","80","75"
"male","male","associate's degree","free/reduced","none","76","68","66"
"male","male","bachelor's degree","free/reduced","none","76","66","68"
"male","male","associate's degree","free/reduced","completed","76","80","78"
"male","male","some high school","free/reduced","none","76","73","68"
"male","male","some college","free/reduced","none","76","66","68"
"male","male","associate's degree","free/reduced","none","76","71","66"
"female","female","associate's degree","free/reduced","completed","77","75","82"
"female","female","bachelor's degree","free/reduced","none","77","79","83"
"male","male","bachelor's degree","free/reduced","none","78","74","73"
"female","female","associate's degree","free/reduced","completed","78","89","90"
"female","female","bachelor's degree","free/reduced","completed","78","90","81"
"male","male","some college","free/reduced","none","78","84","77"
"male","male","some college","free/reduced","none","79","65","59"
"female","female","associate's degree","free/reduced","completed","80","87","89"
"female","female","some high school","free/reduced","none","80","85","78"
"female","female","some high school","free/reduced","none","80","86","87"
"male","male","bachelor's degree","free/reduced","none","80","70","71"
"male","male","associate's degree","free/reduced","completed","80","82","82"
"male","male","some college","free/reduced","completed","80","79","81"
"male","male","master's degree","free/reduced","none","81","73","72"
"male","male","associate's degree","free/reduced","completed","81","71","70"
"male","male","some college","free/reduced","none","81","79","71"
"male","male","associate's degree","free/reduced","none","81","78","75"
"female","female","associate's degree","free/reduced","none","82","95","93"
"female","female","bachelor's degree","free/reduced","none","82","87","90"
"male","male","high school","free/reduced","completed","82","83","77"
"male","male","associate's degree","free/reduced","completed","82","82","78"
"female","female","some college","free/reduced","none","82","88","86"
"male","male","high school","free/reduced","completed","83","78","82"
"female","female","associate's degree","free/reduced","completed","83","95","100"
"male","male","some college","free/reduced","completed","83","63","63"
"female","female","master's degree","free/reduced","none","83","81","83"
"male","male","associate's degree","free/reduced","none","83","85","78"
"female","female","some college","free/reduced","completed","83","93","95"
"male","male","some college","free/reduced","none","83","76","71"
"female","female","master's degree","free/reduced","none","84","100","99"
"male","male","some high school","free/reduced","none","84","78","79"
"male","male","master's degree","free/reduced","completed","84","77","82"
"male","male","associate's degree","free/reduced","completed","85","91","92"
"male","male","some college","free/reduced","completed","86","91","89"
"male","male","high school","free/reduced","completed","86","82","75"
"male","male","some college","free/reduced","none","90","87","81"
"male","male","associate's degree","free/reduced","completed","92","79","77"
"female","female","associate's degree","free/reduced","none","92","87","87"
"female","female","master's degree","free/reduced","completed","92","100","98"
"male","male","high school","free/reduced","none","93","86","73"
"male","male","associate's degree","free/reduced","completed","94","83","82"
"female","female","some high school","standard","completed","33","44","50"
"female","female","some high school","standard","none","33","51","51"
"male","male","some high school","standard","none","36","34","28"
"female","female","some high school","standard","none","36","57","53"
"female","female","high school","standard","none","39","46","50"
"male","male","high school","standard","none","40","39","30"
"female","female","high school","standard","none","40","58","54"
"female","female","high school","standard","none","40","46","57"
"female","female","high school","standard","none","40","49","47"
"female","female","some high school","standard","none","40","48","49"
"female","female","some high school","standard","completed","41","43","45"
"female","female","some high school","standard","none","41","52","47"
"female","female","some high school","standard","none","41","49","49"
"female","female","some high school","standard","none","43","48","44"
"male","male","some high school","standard","completed","43","37","43"
"female","female","some college","standard","none","43","44","47"
"female","female","some college","standard","none","43","59","59"
"male","male","high school","standard","none","43","50","45"
"male","male","associate's degree","standard","none","44","34","36"
"female","female","some high school","standard","none","44","65","63"
"female","female","high school","standard","none","45","50","41"
"female","female","some high school","standard","completed","45","57","56"
"male","male","some high school","standard","none","45","52","45"
"female","female","bachelor's degree","standard","none","46","63","60"
"male","male","some college","standard","completed","46","51","47"
"female","female","bachelor's degree","standard","none","46","59","62"
"male","male","some high school","standard","completed","46","46","44"
"female","female","some college","standard","completed","46","65","64"
"female","female","some college","standard","none","46","51","54"
"female","female","some college","standard","none","46","54","54"
"female","female","bachelor's degree","standard","completed","47","67","63"
"female","female","some college","standard","none","47","63","59"
"female","female","master's degree","standard","none","47","50","47"
"male","male","high school","standard","none","47","43","39"
"female","female","some college","standard","none","47","58","58"
"female","female","high school","standard","completed","48","56","64"
"female","female","some college","standard","none","48","52","49"
"female","female","associate's degree","standard","completed","48","66","68"
"female","female","high school","standard","none","48","63","53"
"male","male","high school","standard","none","48","43","40"
"female","female","high school","standard","none","48","51","43"
"male","male","high school","standard","none","49","43","35"
"male","male","associate's degree","standard","none","49","47","49"
"female","female","some high school","standard","completed","49","64","67"
"male","male","associate's degree","standard","none","49","55","48"
"female","female","some high school","standard","none","49","51","41"
"female","female","some college","standard","none","49","70","63"
"male","male","high school","standard","none","49","36","32"
"female","female","some high school","standard","none","49","56","53"
"male","male","associate's degree","standard","completed","49","58","55"
"female","female","associate's degree","standard","none","50","54","51"
"female","female","associate's degree","standard","completed","50","63","65"
"male","male","bachelor's degree","standard","none","50","46","48"
"female","female","some high school","standard","completed","51","63","66"
"female","female","bachelor's degree","standard","none","51","64","63"
"female","female","some college","standard","none","51","60","52"
"male","male","some college","standard","completed","51","52","52"
"female","female","some high school","standard","none","51","62","64"
"female","female","bachelor's degree","standard","completed","51","53","62"
"female","female","some high school","standard","completed","52","64","63"
"female","female","high school","standard","none","52","55","57"
"male","male","some college","standard","none","52","48","43"
"female","female","high school","standard","none","52","47","48"
"male","male","some college","standard","none","52","53","51"
"female","female","associate's degree","standard","none","52","64","55"
"female","female","associate's degree","standard","none","52","58","57"
"male","male","high school","standard","none","52","49","43"
"female","female","bachelor's degree","standard","completed","52","69","75"
"female","female","high school","standard","completed","52","65","71"
"female","female","some high school","standard","none","53","60","56"
"male","male","some college","standard","none","53","52","44"
"female","female","high school","standard","completed","53","64","62"
"female","female","some high school","standard","none","53","71","69"
"female","female","bachelor's degree","standard","none","53","68","64"
"female","female","associate's degree","standard","none","53","72","66"
"male","male","high school","standard","completed","53","59","64"
"female","female","some high school","standard","none","53","66","59"
"male","male","some college","standard","none","53","48","48"
"female","female","bachelor's degree","standard","none","54","66","69"
"female","female","some high school","standard","none","54","60","65"
"male","male","associate's degree","standard","none","54","52","48"
"female","female","associate's degree","standard","completed","54","62","65"
"male","male","some high school","standard","none","54","43","45"
"female","female","associate's degree","standard","completed","54","64","68"
"female","female","associate's degree","standard","none","54","60","56"
"female","female","associate's degree","standard","completed","54","62","70"
"female","female","some college","standard","none","54","57","60"
"male","male","some college","standard","none","55","38","35"
"female","female","associate's degree","standard","none","55","62","60"
"female","female","high school","standard","completed","55","62","64"
"female","female","some high school","standard","none","55","70","61"
"male","male","some college","standard","none","55","54","54"
"male","male","associate's degree","standard","none","55","54","47"
"male","male","some college","standard","none","55","55","55"
"female","female","bachelor's degree","standard","none","55","56","56"
"male","male","some college","standard","none","55","48","42"
"female","female","high school","standard","completed","55","71","71"
"female","female","some high school","standard","completed","55","74","73"
"female","female","high school","standard","none","56","64","59"
"male","male","some college","standard","none","56","54","43"
"female","female","some college","standard","none","56","52","61"
"female","female","associate's degree","standard","completed","56","68","73"
"male","male","some college","standard","none","56","55","50"
"female","female","some college","standard","none","56","63","62"
"female","female","some college","standard","completed","56","60","62"
"male","male","associate's degree","standard","completed","56","54","52"
"male","male","bachelor's degree","standard","none","56","38","44"
"female","female","some high school","standard","none","57","66","73"
"male","male","some high school","standard","none","57","60","50"
"male","male","some high school","standard","none","57","59","54"
"male","male","associate's degree","standard","none","57","52","47"
"female","female","high school","standard","none","57","74","64"
"female","female","some high school","standard","completed","57","64","68"
"male","male","master's degree","standard","none","57","59","53"
"male","male","some college","standard","none","57","57","53"
"female","female","some high school","standard","none","57","56","58"
"female","female","master's degree","standard","completed","57","68","76"
"female","female","some college","standard","none","57","58","62"
"female","female","associate's degree","standard","completed","57","72","73"
"female","female","high school","standard","completed","57","62","73"
"male","male","some high school","standard","completed","57","55","60"
"female","female","bachelor's degree","standard","none","57","71","63"
"female","female","some college","standard","completed","57","77","75"
"male","male","high school","standard","none","58","47","42"
"male","male","some high school","standard","none","58","67","58"
"female","female","master's degree","standard","none","58","70","70"
"female","female","high school","standard","completed","58","63","67"
"male","male","some high school","standard","completed","58","57","53"
"male","male","some high school","standard","none","58","60","53"
"female","female","associate's degree","standard","none","58","68","62"
"female","female","bachelor's degree","standard","none","58","60","64"
"male","male","high school","standard","completed","58","56","56"
"female","female","some high school","standard","none","58","63","59"
"female","female","some high school","standard","none","58","72","62"
"male","male","associate's degree","standard","none","58","52","55"
"female","female","bachelor's degree","standard","none","58","79","82"
"female","female","high school","standard","completed","58","67","64"
"male","male","some high school","standard","none","58","50","47"
"female","female","associate's degree","standard","none","58","54","58"
"male","male","associate's degree","standard","completed","59","57","55"
"male","male","some high school","standard","none","59","49","46"
"female","female","master's degree","standard","completed","59","73","74"
"female","female","master's degree","standard","none","59","57","58"
"male","male","some high school","standard","none","59","54","48"
"female","female","some high school","standard","none","59","59","58"
"female","female","some high school","standard","none","59","78","75"
"female","female","some college","standard","completed","59","68","67"
"female","female","some high school","standard","none","59","69","72"
"female","female","associate's degree","standard","none","60","62","58"
"male","male","bachelor's degree","standard","none","60","46","51"
"female","female","high school","standard","none","60","64","57"
"female","female","high school","standard","none","60","62","60"
"female","female","some high school","standard","none","60","61","58"
"male","male","some college","standard","none","60","55","46"
"female","female","some high school","standard","none","60","67","64"
"female","female","associate's degree","standard","none","60","76","65"
"female","female","associate's degree","standard","none","60","64","67"
"male","male","associate's degree","standard","none","60","54","53"
"female","female","some high school","standard","none","60","68","74"
"male","male","associate's degree","standard","completed","61","63","65"
"female","female","some high school","standard","none","61","62","61"
"male","male","high school","standard","none","61","62","60"
"female","female","master's degree","standard","none","61","72","64"
"male","male","associate's degree","standard","none","61","55","58"
"male","male","associate's degree","standard","none","61","66","63"
"male","male","associate's degree","standard","completed","61","71","67"
"female","female","high school","standard","none","61","73","69"
"female","female","some college","standard","none","61","73","70"
"female","female","some high school","standard","none","62","76","67"
"female","female","bachelor's degree","standard","completed","62","65","67"
"female","female","high school","standard","none","62","60","59"
"male","male","associate's degree","standard","none","62","55","56"
"female","female","some high school","standard","completed","62","78","73"
"female","female","some college","standard","none","62","60","63"
"male","male","associate's degree","standard","completed","62","61","61"
"female","female","high school","standard","none","62","71","66"
"female","female","bachelor's degree","standard","none","62","59","63"
"female","female","high school","standard","none","62","64","63"
"female","female","some high school","standard","none","62","65","64"
"male","male","some college","standard","none","62","44","52"
"female","female","some college","standard","completed","62","79","87"
"male","male","master's degree","standard","none","62","54","58"
"male","male","some high school","standard","none","62","66","64"
"female","female","high school","standard","none","63","73","66"
"male","male","some college","standard","none","63","50","49"
"female","female","bachelor's degree","standard","none","63","67","71"
"male","male","master's degree","standard","none","63","63","67"
"female","female","some college","standard","completed","63","78","75"
"female","female","associate's degree","standard","none","63","79","76"
"male","male","some college","standard","none","63","65","63"
"female","female","high school","standard","none","63","69","60"
"male","male","some college","standard","completed","63","70","71"
"female","female","some high school","standard","completed","63","61","71"
"male","male","master's degree","standard","none","63","56","60"
"female","female","some college","standard","none","63","62","64"
"female","female","some college","standard","none","63","63","69"
"female","female","high school","standard","completed","63","81","78"
"female","female","some high school","standard","completed","63","61","66"
"female","female","high school","standard","none","63","77","76"
"male","male","high school","standard","none","63","56","65"
"female","female","high school","standard","none","63","71","75"
"male","male","high school","standard","none","63","53","44"
"female","female","some college","standard","none","63","70","71"
"female","female","master's degree","standard","none","63","82","71"
"male","male","associate's degree","standard","completed","63","59","60"
"female","female","some high school","standard","completed","64","74","75"
"female","female","some college","standard","none","64","67","68"
"female","female","some high school","standard","none","64","78","83"
"male","male","some high school","standard","none","64","56","50"
"male","male","bachelor's degree","standard","none","64","53","50"
"female","female","some high school","standard","none","64","70","73"
"female","female","some high school","standard","completed","64","80","77"
"male","male","some high school","standard","none","64","67","64"
"male","male","some high school","standard","completed","64","53","49"
"male","male","some high school","standard","none","64","51","44"
"female","female","bachelor's degree","standard","none","64","64","66"
"male","male","some college","standard","none","64","48","48"
"female","female","associate's degree","standard","none","64","62","66"
"male","male","some high school","standard","none","64","48","50"
"male","male","high school","standard","completed","64","71","70"
"male","male","high school","standard","none","65","68","64"
"female","female","some college","standard","none","65","73","72"
"female","female","high school","standard","none","65","75","68"
"male","male","high school","standard","none","65","63","64"
"female","female","bachelor's degree","standard","none","65","73","81"
"male","male","associate's degree","standard","none","65","62","63"
"male","male","high school","standard","none","65","56","51"
"female","female","some college","standard","completed","65","63","66"
"female","female","master's degree","standard","none","65","74","79"
"male","male","associate's degree","standard","completed","65","69","74"
"female","female","associate's degree","standard","completed","65","65","71"
"male","male","some high school","standard","none","65","59","60"
"female","female","some college","standard","none","65","71","65"
"female","female","high school","standard","none","65","70","72"
"male","male","some college","standard","none","65","63","57"
"male","male","some high school","standard","none","65","66","64"
"female","female","bachelor's degree","standard","completed","65","83","82"
"female","female","some high school","standard","completed","65","76","78"
"male","male","associate's degree","standard","none","65","63","61"
"male","male","some college","standard","completed","65","60","62"
"male","male","some college","standard","completed","66","75","70"
"female","female","some college","standard","completed","66","71","76"
"male","male","high school","standard","completed","66","70","64"
"male","male","associate's degree","standard","none","66","65","65"
"male","male","some high school","standard","none","66","64","58"
"female","female","high school","standard","none","66","84","77"
